"title","price","discount","developer","publisher","release_date","valoration","reviews","stock","descarga","f2p","initial_price","DLC","genre1","genre2","multiplayer","indie","year","month","day"
"Naruto: Ultimate Ninja Storm Revolution",3.32,89,"CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment","2014-09-16",9,20,1,"Descarga digital",0,30.1818181818182,FALSE,"Acción","Aventura",FALSE,FALSE,2014,9,16
"Alan Wake Collector's Edition - Europe",3.27,81,"Remedy Entertainment","Remedy Entertainment","2012-02-16",10,83,1,"Descarga digital",0,17.2105263157895,FALSE,"Acción","Aventura",FALSE,FALSE,2012,2,16
"RAD",1,95,"Double Fine Productions","BANDAI NAMCO Entertainment America Inc.","2019-08-20",8,1,1,"Descarga digital",0,20,FALSE,"Acción","Acción",FALSE,FALSE,2019,8,20
"Northgard: Nidhogg, Clan of the Dragon",3.69,18,"Shiro Games","Shiro Unlimited","2018-12-04",10,0,1,"Descarga digital",0,4.5,TRUE,"Simulación","Estrategia",FALSE,TRUE,2018,12,4
"My Friend Pedro",3.47,82,"DeadToast Entertainment","Devolver Digital","2019-06-20",10,4,1,"Descarga digital",0,19.2777777777778,FALSE,"Acción","Acción",FALSE,TRUE,2019,6,20
"Sword Art Online Re: Hollow Fragment",3.06,85,"AQURIA Co., Ltd.","BANDAI NAMCO Entertainment","2018-08-21",7,1,1,"Descarga digital",0,20.4,FALSE,"RPG","RPG",FALSE,FALSE,2018,8,21
"Dead by Daylight: Spark of Madness",5.25,25,"Behaviour Interactive Inc.","Behaviour Interactive Inc.","2017-05-11",8,5,1,"Descarga digital",0,7,TRUE,"Acción","Acción",TRUE,FALSE,2017,5,11
"Dead by Daylight: Ash vs Evil Dead",4.1,18,"Behaviour Interactive Inc.","Behaviour Interactive Inc.","2019-04-02",8,1,0,"No",0,5,TRUE,"Acción","Acción",TRUE,FALSE,2019,4,2
"Flashing Lights - Police Fire EMS",10.44,58,"Nils Jakrins","Excalibur Games","2018-06-07",8,17,1,"Descarga digital",0,24.8571428571429,FALSE,"Acción","RPG",FALSE,TRUE,2018,6,7
"The Escapists 2 Season Pass",2.2,78,"Mouldy Toof Studios","Mouldy Toof Studios","2017-08-22",10,1,1,"Descarga digital",0,10,TRUE,"Simulación","Estrategia",FALSE,TRUE,2017,8,22
"Metal Gear Survive",5.53,86,"Konami Digital Entertainment","Konami Digital Entertainment","2018-02-22",6,25,0,"No",0,39.5,FALSE,"Acción","Aventura",FALSE,FALSE,2018,2,22
"Dishonored - Europe",1.9,81,"Arkane Studios","Bethesda Softworks","2012-10-09",10,62,1,"Descarga digital",0,10,FALSE,"Acción","Aventura",FALSE,FALSE,2012,10,9
"Two Worlds II",1,95,"Reality Pump Studios","Topware Interactive, ACE","2011-02-03",6,7,1,"Descarga digital",0,20,FALSE,"RPG","RPG",FALSE,FALSE,2011,2,3
"The Case of the Golden Idol",8.18,55,"Color Gray Games","Playstack","2022-10-13",10,1,1,"Descarga digital",0,18.1777777777778,FALSE,"Aventura","Aventura",FALSE,TRUE,2022,10,13
"Quantum Break",9.66,74,"Remedy Entertainment","Xbox Game Studios","2016-09-29",9,63,1,"Descarga digital",0,37.1538461538462,FALSE,"Acción","Acción",FALSE,FALSE,2016,9,29
"The Quarry - Deluxe Edition - Europe",27.08,61,"Supermassive Games","2K Games","2022-06-10",8,55,1,"Descarga digital",0,69.4358974358974,FALSE,"Aventura","Aventura",FALSE,FALSE,2022,6,10
"Dead by Daylight - Hour of the Witch Chapter",4.62,7,"Behaviour Interactive Inc.","Behaviour Interactive Inc.","2021-10-19",10,1,1,"Descarga digital",0,4.96774193548387,TRUE,"Acción","Acción",TRUE,FALSE,2021,10,19
"MechWarrior 5: Mercenaries - Legend of the Kestrel Lancers",5.58,72,"Piranha Games Inc.","Fireshine Games","2021-09-23",7,0,1,"Descarga digital",0,19.9285714285714,TRUE,"Acción","Simulación",FALSE,FALSE,2021,9,23
